scenario,cluster_count,cluster_size,sample_size,epsilon,replicate,method,effect,truth,estimate,error,fit_success,iterations,gradient_norm,coefficient_norm
complex,200,8,1600,1,1,doi_nonprivate_generic,direct_low,0.09860674353,0.09913911856,0.0005323750309,True,103,0.006125215294,4.491293118
complex,200,8,1600,1,1,doi_nonprivate_generic,direct_high,0.1616022877,0.1553397442,-0.006262543503,True,103,0.006125215294,4.491293118
complex,200,8,1600,1,1,doi_nonprivate_generic,spillover_control,0.110137319,0.1172133287,0.00707600962,True,103,0.006125215294,4.491293118
complex,200,8,1600,1,1,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1734139543,0.0002810910862,True,103,0.006125215294,4.491293118
complex,200,8,1600,1,1,doi_private_generic,direct_low,0.09860674353,0.02324243108,-0.07536431245,True,61,0.0009955096167,2.583116976
complex,200,8,1600,1,1,doi_private_generic,direct_high,0.1616022877,0.2636230606,0.1020207729,True,61,0.0009955096167,2.583116976
complex,200,8,1600,1,1,doi_private_generic,spillover_control,0.110137319,-0.03652720813,-0.1466645272,True,61,0.0009955096167,2.583116976
complex,200,8,1600,1,1,doi_private_generic,spillover_treated,0.1731328632,0.2038534213,0.03072055816,True,61,0.0009955096167,2.583116976
complex,200,8,1600,1,1,doi_private_no_interference,direct_low,0.09860674353,0.223497933,0.1248911895,True,9,0.0001395922669,1.264202186
complex,200,8,1600,1,1,doi_private_no_interference,direct_high,0.1616022877,0.223497933,0.06189564535,True,9,0.0001395922669,1.264202186
complex,200,8,1600,1,1,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,9,0.0001395922669,1.264202186
complex,200,8,1600,1,1,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,9,0.0001395922669,1.264202186
complex,200,8,1600,2,1,design_ht,direct_low,0.09860674353,0.1012354402,0.002628696621,True,0,0,0
complex,200,8,1600,2,1,design_ht,direct_high,0.1616022877,0.2931917635,0.1315894758,True,0,0,0
complex,200,8,1600,2,1,design_ht,spillover_control,0.110137319,0.1900942638,0.07995694478,True,0,0,0
complex,200,8,1600,2,1,design_ht,spillover_treated,0.1731328632,0.3820505871,0.208917724,True,0,0,0
complex,200,8,1600,2,1,doi_nonprivate_generic,direct_low,0.09860674353,0.09913911856,0.0005323750309,True,103,0.006125215294,4.491293118
complex,200,8,1600,2,1,doi_nonprivate_generic,direct_high,0.1616022877,0.1553397442,-0.006262543503,True,103,0.006125215294,4.491293118
complex,200,8,1600,2,1,doi_nonprivate_generic,spillover_control,0.110137319,0.1172133287,0.00707600962,True,103,0.006125215294,4.491293118
complex,200,8,1600,2,1,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1734139543,0.0002810910862,True,103,0.006125215294,4.491293118
complex,200,8,1600,2,1,doi_private_generic,direct_low,0.09860674353,0.1524311257,0.05382438213,True,72,0.0008981290095,4.419886198
complex,200,8,1600,2,1,doi_private_generic,direct_high,0.1616022877,0.1750573657,0.01345507801,True,72,0.0008981290095,4.419886198
complex,200,8,1600,2,1,doi_private_generic,spillover_control,0.110137319,0.1356893507,0.02555203163,True,72,0.0008981290095,4.419886198
complex,200,8,1600,2,1,doi_private_generic,spillover_treated,0.1731328632,0.1583155907,-0.01481727249,True,72,0.0008981290095,4.419886198
complex,200,8,1600,2,1,doi_private_no_interference,direct_low,0.09860674353,0.2715449497,0.1729382062,True,11,8.756908263e-05,2.012534038
complex,200,8,1600,2,1,doi_private_no_interference,direct_high,0.1616022877,0.2715449497,0.109942662,True,11,8.756908263e-05,2.012534038
complex,200,8,1600,2,1,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,11,8.756908263e-05,2.012534038
complex,200,8,1600,2,1,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,11,8.756908263e-05,2.012534038
complex,200,8,1600,0.5,2,design_ht,direct_low,0.09860674353,0.1479674787,0.04936073518,True,0,0,0
complex,200,8,1600,0.5,2,design_ht,direct_high,0.1616022877,0.0195896126,-0.1420126751,True,0,0,0
complex,200,8,1600,0.5,2,design_ht,spillover_control,0.110137319,-0.004625901448,-0.1147632205,True,0,0,0
complex,200,8,1600,0.5,2,design_ht,spillover_treated,0.1731328632,-0.1330037676,-0.3061366307,True,0,0,0
complex,200,8,1600,0.5,2,doi_nonprivate_generic,direct_low,0.09860674353,0.09829259222,-0.0003141513147,True,79,0.003272855655,4.581147617
complex,200,8,1600,0.5,2,doi_nonprivate_generic,direct_high,0.1616022877,0.157745578,-0.003856709683,True,79,0.003272855655,4.581147617
complex,200,8,1600,0.5,2,doi_nonprivate_generic,spillover_control,0.110137319,0.1155439039,0.005406584838,True,79,0.003272855655,4.581147617
