scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,50,32,1600,1,one_bit,spillover_control,400,0.005021280163,0.007539489148,0.1506848632,0.005113372906,0.1506848632,0.005113372906,0,0.150789783,0.1480064526,0.9815416516,0.945,0.01139901312,0.9181325522,0.9634015059,0.5948602042,0.5948602042
linear,50,32,1600,1,one_bit,spillover_treated,400,0.01870486097,0.009175272681,0.1842279504,0.005970845797,0.1842279504,0.005970845797,0,0.1835054536,0.1830422435,0.9974757695,0.955,0.01036520622,0.9299952708,0.9713485413,0.73567432,0.73567432
linear,50,32,1600,4,laplace,direct_high,400,0.004154213441,0.003044032647,0.06094624892,0.001998650443,0.06094624891,0.001998650443,0,0.06088065294,0.05860670763,0.9626491308,0.95,0.01089724736,0.9240363649,0.9674025702,0.2355491768,0.2355491768
linear,50,32,1600,4,laplace,direct_low,400,-0.002496054075,0.002738902195,0.05476643858,0.001952939232,0.05476643858,0.001952939232,0,0.0547780439,0.05224373562,0.953734962,0.93,0.01275735082,0.9006910536,0.9511283733,0.2099754348,0.2099754348
linear,50,32,1600,4,laplace,spillover_control,400,0.00650504071,0.005848341288,0.1170014991,0.003605150667,0.1170014991,0.003605150667,0,0.1169668258,0.1180155509,1.008966005,0.9675,0.008866192813,0.9451958472,0.9809101576,0.4743222574,0.4743222574
linear,50,32,1600,4,laplace,spillover_treated,400,0.01315530823,0.007902968657,0.1584088718,0.005202524086,0.1584088718,0.005202524086,0,0.1580593731,0.1605325695,1.015647262,0.96,0.009797958971,0.9360177523,0.9752309369,0.6452045529,0.6452045529
linear,50,32,1600,4,naive_bit,direct_high,400,-0.0040546875,0.003282382076,0.06569078548,0.002226859343,0.06569078548,0.002226859343,0,0.06564764153,0.06554961614,0.9985067949,0.9425,0.01163977556,0.9151991623,0.9613824572,0.2634537708,0.2634537708
linear,50,32,1600,4,naive_bit,direct_low,400,-0.01080078125,0.00286089858,0.05815813278,0.001746846247,0.05815813278,0.001746846247,0,0.05721797159,0.05952403316,1.040303099,0.9475,0.01115165346,0.9210780249,0.9654084716,0.2392360461,0.2392360461
linear,50,32,1600,4,naive_bit,spillover_control,400,0.00562109375,0.00619529162,0.1238784499,0.004073123235,0.1238784499,0.004073123235,0,0.1239058324,0.1226881131,0.9901722193,0.95,0.01089724736,0.9240363649,0.9674025702,0.4931019878,0.4931019878
linear,50,32,1600,4,naive_bit,spillover_treated,400,0.0123671875,0.007823488816,0.156762659,0.005091956409,0.156762659,0.005091956409,0,0.1564697763,0.162268831,1.03706182,0.955,0.01036520622,0.9299952708,0.9713485413,0.6521828491,0.6521828491
linear,50,32,1600,4,nonprivate,direct_high,400,0.002482746325,0.002546223923,0.05092134405,0.00178245772,0.05092134405,0.00178245772,0,0.05092447846,0.04979983417,0.9779154481,0.9425,0.01163977556,0.9151991623,0.9613824572,0.2001530271,0.2001530271
linear,50,32,1600,4,nonprivate,direct_low,400,-0.004147688356,0.002126002952,0.0426689448,0.001408876073,0.0426689448,0.001408876074,0,0.04252005903,0.04228821433,0.9945474039,0.935,0.01232629304,0.9064647858,0.9552595181,0.1699626967,0.1699626967
linear,50,32,1600,4,nonprivate,spillover_control,400,0.008907776336,0.005676697153,0.1137412846,0.003734783309,0.1137412846,0.003734783309,0,0.1135339431,0.1141405672,1.005343108,0.95,0.01089724736,0.9240363649,0.9674025702,0.4587481147,0.4587481147
linear,50,32,1600,4,nonprivate,spillover_treated,400,0.01553821102,0.007697163055,0.1545338711,0.005037239536,0.1545338711,0.005037239536,0,0.1539432611,0.1573685141,1.0222501,0.9575,0.01008634597,0.9329979457,0.973298305,0.6324877381,0.6324877381
linear,50,32,1600,4,one_bit,direct_high,400,0.002033515284,0.003347466137,0.06689649819,0.00226646385,0.06689649819,0.00226646385,0,0.06694932274,0.06691743214,0.9995236605,0.94,0.01187434209,0.9122771511,0.9593520299,0.2689512291,0.2689512291
linear,50,32,1600,4,one_bit,direct_low,400,-0.006168800019,0.002913354122,0.05852024741,0.001788150697,0.05852024741,0.001788150697,0,0.05826708243,0.06072797177,1.042234641,0.96,0.009797958971,0.9360177523,0.9752309369,0.2440748565,0.2440748565
linear,50,32,1600,4,one_bit,spillover_control,400,0.01035773111,0.006171375308,0.1237075018,0.004085234152,0.1237075018,0.004085234152,0,0.1234275062,0.1221759655,0.9898601159,0.9475,0.01115165346,0.9210780249,0.9654084716,0.4910435899,0.4910435899
linear,50,32,1600,4,one_bit,spillover_treated,400,0.01856004642,0.007858913668,0.1580750531,0.005130137182,0.1580750531,0.005130137182,0,0.1571782734,0.1630932617,1.037632353,0.9575,0.01008634597,0.9329979457,0.973298305,0.6554963599,0.6554963599
linear,100,16,1600,0.5,laplace,direct_high,400,0.007893043956,0.01272119159,0.2542281606,0.009077356833,0.2542281606,0.009077356833,0,0.2544238318,0.2524352367,0.9921839274,0.9475,0.01115165346,0.9210780249,0.9654084716,1.001772552,0.9842288005
linear,100,16,1600,0.5,laplace,direct_low,400,0.02191508024,0.01244375218,0.2495279765,0.008251597685,0.2495279765,0.008251597685,0,0.2488750435,0.2506577371,1.007163007,0.965,0.009188987975,0.9421148605,0.9790387058,0.9947186619,0.9810988934
linear,100,16,1600,0.5,laplace,spillover_control,400,0.002740323706,0.01330823369,0.2658458836,0.009025163397,0.2658458836,0.009025163397,0,0.2661646738,0.2615730711,0.9827490157,0.945,0.01139901312,0.9181325522,0.9634015059,1.038035444,1.01771299
linear,100,16,1600,0.5,laplace,spillover_treated,400,-0.01128171258,0.01396090835,0.2790970348,0.01069004799,0.2786124271,0.01057157529,0.0025,0.2792181669,0.2759978378,0.9884666203,0.96,0.009797958971,0.9360177523,0.9752309369,1.095279177,1.073483018
linear,100,16,1600,0.5,naive_bit,direct_high,400,-0.1221289063,0.003086577204,0.1368090871,0.002852316826,0.1368090871,0.002852316826,0,0.06173154409,0.06112618163,0.9901936284,0.4825,0.02498468281,0.433930563,0.5314023673,0.2425752115,0.2425752115
linear,100,16,1600,0.5,naive_bit,direct_low,400,-0.094640625,0.003010748123,0.1121321765,0.002787601771,0.1121321765,0.002787601771,0,0.06021496246,0.06201939952,1.02996659,0.6775,0.02337165752,0.6301910936,0.7214320419,0.2461198877,0.2461198877
linear,100,16,1600,0.5,naive_bit,spillover_control,400,-0.11309375,0.005114595456,0.1524062724,0.004367096705,0.1524062724,0.004367096705,0,0.1022919091,0.1093767736,1.06926124,0.8375,0.0184454432,0.7981666098,0.8704125916,0.4340544965,0.4340544965
linear,100,16,1600,0.5,naive_bit,spillover_treated,400,-0.1405820312,0.005563443919,0.1792013362,0.004789398311,0.1792013362,0.004789398311,0,0.1112688784,0.1179186498,1.059763085,0.785,0.0205411173,0.7421294765,0.8224485158,0.4679523675,0.4679523675
linear,100,16,1600,0.5,nonprivate,direct_high,400,0.002108437318,0.002348175708,0.04695213777,0.001509188286,0.04695213777,0.001509188286,0,0.04696351417,0.046912165,0.9989066157,0.94,0.01187434209,0.9122771511,0.9593520299,0.186167826,0.186167826
linear,100,16,1600,0.5,nonprivate,direct_low,400,0.003690553869,0.002032889927,0.04077430722,0.001527012536,0.04077430722,0.001527012536,0,0.04065779855,0.04125777542,1.014756748,0.95,0.01089724736,0.9240363649,0.9674025702,0.1637287547,0.1637287547
linear,100,16,1600,0.5,nonprivate,spillover_control,400,-0.008178085543,0.003979357493,0.07990719754,0.002765748809,0.07990719754,0.002765748809,0,0.07958714985,0.08317855435,1.045125432,0.95,0.01089724736,0.9240363649,0.9674025702,0.3300885951,0.3300885951
linear,100,16,1600,0.5,nonprivate,spillover_treated,400,-0.009760202095,0.005565016434,0.1115887777,0.003911446041,0.1115887777,0.003911446041,0,0.1113003287,0.1154596328,1.037370097,0.955,0.01036520622,0.9299952708,0.9713485413,0.4581939211,0.4581939211
linear,100,16,1600,0.5,one_bit,direct_high,400,0.008584974781,0.009176413101,0.1834996409,0.006659686937,0.1834996409,0.006659686937,0,0.183528262,0.1829124993,0.9966448613,0.9625,0.009499177596,0.9390561576,0.9771449702,0.7258761633,0.7253392161
linear,100,16,1600,0.5,one_bit,direct_low,400,0.01094569819,0.009242705282,0.1849470764,0.006292012705,0.1849470764,0.006292012705,0,0.1848541056,0.185417168,1.003045982,0.95,0.01089724736,0.9240363649,0.9674025702,0.7358157757,0.7355753911
linear,100,16,1600,0.5,one_bit,spillover_control,400,-0.02395805897,0.009152771894,0.1843895569,0.006890215892,0.1843895569,0.006890215892,0,0.1830554379,0.1970207118,1.076289861,0.9525,0.01063528914,0.9270084506,0.969382923,0.7818636724,0.7809799818
linear,100,16,1600,0.5,one_bit,spillover_treated,400,-0.02631878238,0.01054319124,0.2122382436,0.007352526891,0.2122382436,0.007352526891,0,0.2108638248,0.21502361,1.019727354,0.95,0.01089724736,0.9240363649,0.9674025702,0.8533069839,0.8523901037
linear,100,16,1600,1,laplace,direct_high,400,0.00770348036,0.006822248924,0.1364918777,0.004862026125,0.1364918777,0.004862026125,0,0.1364449785,0.1311134094,0.960925135,0.935,0.01232629304,0.9064647858,0.9552595181,0.5203148989,0.5203148989
linear,100,16,1600,1,laplace,direct_low,400,-0.003069537165,0.006531690736,0.1305065233,0.004530414443,0.1305065233,0.004530414443,0,0.1306338147,0.1304928412,0.9989208498,0.955,0.01036520622,0.9299952708,0.9713485413,0.5178522151,0.5178522151
linear,100,16,1600,1,laplace,spillover_control,400,-0.01620384787,0.007672218759,0.1541067098,0.005279914601,0.1541067098,0.005279914601,0,0.1534443752,0.1478077391,0.963265932,0.9375,0.01210307296,0.9093658839,0.9573108586,0.5865652428,0.586440275
linear,100,16,1600,1,laplace,spillover_treated,400,-0.005430830349,0.00810708527,0.1620299408,0.005830651021,0.1620299408,0.005830651021,0,0.1621417054,0.1685787199,1.039699931,0.955,0.01036520622,0.9299952708,0.9713485413,0.6689935075,0.6689935075
linear,100,16,1600,1,naive_bit,direct_high,400,-0.08743359375,0.003129735891,0.1074845885,0.002759571358,0.1074845885,0.002759571358,0,0.06259471781,0.06203920254,0.9911252052,0.705,0.02280213806,0.658528951,0.7475710083,0.2461984747,0.2461984747
linear,100,16,1600,1,naive_bit,direct_low,400,-0.0680703125,0.003094128898,0.0919426303,0.002589430374,0.0919426303,0.002589430374,0,0.06188257796,0.06115379521,0.9882231352,0.7975,0.02009314249,0.7553739799,0.833966205,0.2426847942,0.2426847942
linear,100,16,1600,1,naive_bit,spillover_control,400,-0.0816328125,0.00531151213,0.1338677271,0.003985458529,0.1338677271,0.003985458529,0,0.1062302426,0.1048401952,0.9869147674,0.8825,0.01610075697,0.8472450358,0.910478059,0.4160513849,0.4160513849
linear,100,16,1600,1,naive_bit,spillover_treated,400,-0.1009960938,0.005707975712,0.1523155431,0.004617020268,0.1523155431,0.004617020268,0,0.1141595142,0.119193126,1.044092792,0.8875,0.01579903082,0.8527764307,0.9148515412,0.4730100422,0.4730100422
linear,100,16,1600,1,nonprivate,direct_high,400,0.002108437318,0.002348175708,0.04695213777,0.001509188286,0.04695213777,0.001509188286,0,0.04696351417,0.046912165,0.9989066157,0.94,0.01187434209,0.9122771511,0.9593520299,0.186167826,0.186167826
linear,100,16,1600,1,nonprivate,direct_low,400,0.003690553869,0.002032889927,0.04077430722,0.001527012536,0.04077430722,0.001527012536,0,0.04065779855,0.04125777542,1.014756748,0.95,0.01089724736,0.9240363649,0.9674025702,0.1637287547,0.1637287547
linear,100,16,1600,1,nonprivate,spillover_control,400,-0.008178085543,0.003979357493,0.07990719754,0.002765748809,0.07990719754,0.002765748809,0,0.07958714985,0.08317855435,1.045125432,0.95,0.01089724736,0.9240363649,0.9674025702,0.3300885951,0.3300885951
linear,100,16,1600,1,nonprivate,spillover_treated,400,-0.009760202095,0.005565016434,0.1115887777,0.003911446041,0.1115887777,0.003911446041,0,0.1113003287,0.1154596328,1.037370097,0.955,0.01036520622,0.9299952708,0.9713485413,0.4581939211,0.4581939211
linear,100,16,1600,1,one_bit,direct_high,400,0.002299939741,0.005273682907,0.105366838,0.003372740392,0.105366838,0.003372740391,0,0.1054736581,0.1055602863,1.000821326,0.94,0.01187434209,0.9122771511,0.9593520299,0.4189090192,0.4189090192
linear,100,16,1600,1,one_bit,direct_low,400,0.002719424513,0.005388105249,0.1076616685,0.003780800241,0.1076616685,0.003780800241,0,0.107762105,0.104364028,0.9684668654,0.9475,0.01115165346,0.9210780249,0.9654084716,0.414161747,0.414161747
linear,100,16,1600,1,one_bit,spillover_control,400,-0.01136139849,0.006612160869,0.1325655658,0.004596470893,0.1325655658,0.004596470893,0,0.1322432174,0.1259909759,0.9527216472,0.9225,0.0133691576,0.892095046,0.9448670653,0.4999868602,0.4999868602
linear,100,16,1600,1,one_bit,spillover_treated,400,-0.01178088326,0.007215208012,0.144604359,0.005426162758,0.144604359,0.005426162758,0,0.1443041602,0.1498963022,1.038752465,0.95,0.01089724736,0.9240363649,0.9674025702,0.5948535676,0.5948535676
linear,100,16,1600,4,laplace,direct_high,400,0.001521804331,0.002789382063,0.05573864148,0.001824900977,0.05573864148,0.001824900977,0,0.05578764127,0.05643267232,1.011562257,0.9575,0.01008634597,0.9329979457,0.973298305,0.2239493301,0.2239493301
linear,100,16,1600,4,laplace,direct_low,400,0.003213095432,0.002553883291,0.05111486681,0.001989060345,0.05111486681,0.001989060345,0,0.05107766583,0.0516840498,1.011871803,0.9525,0.01063528914,0.9270084506,0.969382923,0.2051047355,0.2051047355
