scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,50,8,400,2,laplace,direct_low,400,-0.008621215508,0.007239314737,0.1448619647,0.004883734541,0.1448619647,0.004883734541,0,0.1447862947,0.1436956657,0.9924673183,0.9425,0.01163977556,0.9151991623,0.9613824572,0.5775345028,0.5772959809
linear,50,8,400,2,laplace,spillover_control,400,0.01146160211,0.008814835194,0.1764488447,0.006667044685,0.1764488447,0.006667044685,0,0.1762967039,0.1780725628,1.010073126,0.9475,0.01115165346,0.9210780249,0.9654084716,0.7157004253,0.7150960138
linear,50,8,400,2,laplace,spillover_treated,400,0.01639717191,0.00999575999,0.2003373134,0.006786057409,0.2003373134,0.006786057409,0,0.1999151998,0.2101243073,1.05106719,0.96,0.009797958971,0.9360177523,0.9752309369,0.8445212092,0.8444859607
linear,50,8,400,2,naive_bit,direct_high,400,-0.0415625,0.006386143297,0.1341632925,0.005054918992,0.1341632925,0.005054918992,0,0.1277228659,0.1246539895,0.9759723801,0.9375,0.01210307296,0.9093658839,0.9573108586,0.5010031409,0.5010031409
linear,50,8,400,2,naive_bit,direct_low,400,-0.04509375,0.006049582482,0.1289799524,0.004586307293,0.1289799524,0.004586307293,0,0.1209916496,0.115867065,0.9576451375,0.885,0.01595109714,0.850008456,0.9126670774,0.4656871691,0.4656871691
linear,50,8,400,2,naive_bit,spillover_control,400,-0.03146875,0.007974635094,0.1623718244,0.006031871438,0.1623718244,0.006031871438,0,0.1594927019,0.1585722143,0.9942286539,0.9275,0.01296569994,0.8978175067,0.9490494816,0.6373255903,0.6373255903
linear,50,8,400,2,naive_bit,spillover_treated,400,-0.0279375,0.009197392931,0.1858298323,0.007339068282,0.1858298323,0.007339068282,0,0.1839478586,0.1865486654,1.014138826,0.955,0.01036520622,0.9299952708,0.9713485413,0.7497671571,0.7497671571
linear,50,8,400,2,nonprivate,direct_high,400,0.00588592904,0.004481341315,0.08970802492,0.003545459745,0.08970802492,0.003545459745,0,0.08962682631,0.09100808313,1.015411199,0.955,0.01036520622,0.9299952708,0.9713485413,0.3657751805,0.3657751805
linear,50,8,400,2,nonprivate,direct_low,400,-0.008892600466,0.004144694945,0.08326642974,0.00304431804,0.08326642974,0.00304431804,0,0.0828938989,0.0774648199,0.9345056866,0.92,0.01356465997,0.8892454232,0.9427642496,0.3113427676,0.3113427676
linear,50,8,400,2,nonprivate,spillover_control,400,-0.003009461889,0.006247450246,0.1248290033,0.004926089276,0.1248290033,0.004926089276,0,0.1249490049,0.1241448867,0.993564429,0.945,0.01139901312,0.9181325522,0.9634015059,0.4989569804,0.4989569804
linear,50,8,400,2,nonprivate,spillover_treated,400,0.01176906762,0.008213140261,0.1644789484,0.005932442346,0.1644789484,0.005932442346,0,0.1642628052,0.1701253015,1.035689737,0.95,0.01089724736,0.9240363649,0.9674025702,0.6837591862,0.6837591862
linear,50,8,400,2,one_bit,direct_high,400,-0.003790390747,0.007464871999,0.1491588695,0.005518774329,0.1491588695,0.005518774329,0,0.14929744,0.1458065991,0.9766182135,0.9575,0.01008634597,0.9329979457,0.973298305,0.586018662,0.586018662
linear,50,8,400,2,one_bit,direct_low,400,-0.0147929126,0.007001169989,0.1406284693,0.005323528356,0.1406284693,0.005323528356,0,0.1400233998,0.1357573033,0.9695329744,0.925,0.01316956719,0.8949522937,0.9469622561,0.5456290298,0.5455928534
linear,50,8,400,2,one_bit,spillover_control,400,0.00150266968,0.008476827422,0.1693311627,0.006331375795,0.1693311627,0.006331375795,0,0.1695365484,0.1689886393,0.9967681944,0.9375,0.01210307296,0.9093658839,0.9573108586,0.6791907696,0.6788946681
linear,50,8,400,2,one_bit,spillover_treated,400,0.01250519153,0.009998112363,0.2001032681,0.007313945456,0.2001032681,0.007313945456,0,0.1999622473,0.2025130751,1.012756547,0.9425,0.01163977556,0.9151991623,0.9613824572,0.8139305218,0.8136659601
linear,100,8,800,0.5,laplace,direct_high,400,0.02993779938,0.01683471648,0.3376032224,0.01234463776,0.3335120223,0.01114519472,0.0075,0.3366943297,0.3533913273,1.049590968,0.9825,0.006556247021,0.9643229271,0.9914977089,1.402410124,1.292752807
linear,100,8,800,0.5,laplace,direct_low,400,-0.0077840604,0.01692025731,0.3380715005,0.01205431337,0.3372740428,0.0118979784,0.0025,0.3384051461,0.3543695154,1.047175315,0.9475,0.01115165346,0.9210780249,0.9654084716,1.406291999,1.313379947
